id,remitente,contenido,fecha_hora
22,Empleo en Bogotá,"Tenemos 427 empleos disponibles en Bogotá, con énfasis en formación tecnológica.  
¿Qué cargos hay disponibles y cómo aplicar? 
Todos los detalles te los contamos a ti primero en este link: https://desarrolloeconomico.gov.co/427-empleos-disponibles-en-bogota-con-enfasis-en-formacion-tecnologica/",2025-10-14 15:09:31
23,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 
Hoy, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).
 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.
Inscríbete escaneando el código QR o haciendo clic aquí 
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:31
24,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en JobFest, la rueda de empleo especializada en perfiles con competencias digitales, donde podrás:
 
 Conectarte con más de 80 empresas con vacantes activas en el sector.
 Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
 Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
 Miércoles 24 y jueves 25 de septiembre
 10:00 a. m. – 4:00 p. m.
 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:31
25,Empleo en Bogotá,"Vacante para bachilleres
Lum Logistics S.A.S. busca 100 Auxiliares de bodega con y sin experiencia.
Tipo de contrato: Término indefinido
 Nivel educativo: Bachiller
 ¿Cuándo?: Miércoles 24 de septiembre
 Hora: 8:30 a.m a 1:00 p.m
¿Dónde?: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.
 Confirma tu asistencia aquí: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:31
26,Empleo en Bogotá,¡Llegó una convocatoria para los más tesos de ilustración!,2025-10-14 15:09:31
27,Empleo en Bogotá,"🔵 *Vacante para bachilleres* 

¡Convocatoria de empleo presencial! 

*Gate Gourmet* tiene 8️⃣0️⃣ puestos de trabajo disponibles para:

✅ Auxiliares de cocina y producción (HORECA)
✅ Auxiliares de bodega
✅ Auxiliares de planta

🔺 *Requisitos*: 6 meses de experiencia 

📅 *Fecha:* Martes, 23 de septiembre de 2025
🕘 *Hora:* 9:00 a.m.
📍 *Lugar:* Calle 59 #13-33, Chapinero – Edificio Pasaje Galvis, Oficina 124, segundo piso

Te esperamos con tu hoja de vida y documento de identificación. ✨✨",2025-10-14 15:09:32
28,Empleo en Bogotá,8️⃣,2025-10-14 15:09:32
29,Empleo en Bogotá,0️⃣,2025-10-14 15:09:32
30,Empleo en Bogotá,Sticker sin etiquetas,2025-10-14 15:09:33
31,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 

*Hoy*, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).

👉 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.

Inscríbete escaneando el código QR o haciendo clic aquí 👇
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:33
32,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en *JobFest*, la *rueda de empleo especializada en perfiles con competencias digitales*, donde podrás:
 
✅ Conectarte con más de 80 empresas con vacantes activas en el sector.
✅ Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
✅ Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
📅 Miércoles 24 y jueves 25 de septiembre
🕜 10:00 a. m. – 4:00 p. m.
📍 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
📲 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:34
33,Empleo en Bogotá,"🔵 *Vacante para bachilleres*

*Lum Logistics S.A.S.* busca 100 *Auxiliares de bodega con y sin experiencia*.

📄*Tipo de contrato*: Término indefinido
📚 *Nivel educativo*: Bachiller

📅 *¿Cuándo?*: Miércoles 24 de septiembre
🕜 *Hora*: 8:30 a.m a 1:00 p.m
📍*¿Dónde?*: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.

📲 *Confirma tu asistencia aquí*: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:34
34,Empleo en Bogotá,Sticker con: 🌚,2025-10-14 15:09:34
35,Empleo en Bogotá,Empleo en Bogotá,2025-10-14 15:09:37
36,Empleo en Bogotá,618 k seguidores,2025-10-14 15:09:37
37,Empleo en Bogotá,"Vacante para bachilleres 
¡Convocatoria de empleo presencial! 
Gate Gourmet tiene  puestos de trabajo disponibles para:
 Auxiliares de cocina y producción (HORECA)
 Auxiliares de bodega
 Auxiliares de planta
 Requisitos: 6 meses de experiencia 
 Fecha: Martes, 23 de septiembre de 2025
 Hora: 9:00 a.m.
 Lugar: Calle 59 #13-33, Chapinero – Edificio Pasaje Galvis, Oficina 124, segundo piso
Te esperamos con tu hoja de vida y documento de identificación.",2025-10-14 15:09:37
38,Empleo en Bogotá,¡Empezamos semana con buenas noticias!,2025-10-14 15:09:37
39,Empleo en Bogotá,"Tenemos 427 empleos disponibles en Bogotá, con énfasis en formación tecnológica.  
¿Qué cargos hay disponibles y cómo aplicar? 
Todos los detalles te los contamos a ti primero en este link: https://desarrolloeconomico.gov.co/427-empleos-disponibles-en-bogota-con-enfasis-en-formacion-tecnologica/",2025-10-14 15:09:37
40,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 
Hoy, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).
 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.
Inscríbete escaneando el código QR o haciendo clic aquí 
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:37
41,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en JobFest, la rueda de empleo especializada en perfiles con competencias digitales, donde podrás:
 
 Conectarte con más de 80 empresas con vacantes activas en el sector.
 Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
 Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
 Miércoles 24 y jueves 25 de septiembre
 10:00 a. m. – 4:00 p. m.
 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:37
42,Empleo en Bogotá,"Vacante para bachilleres
Lum Logistics S.A.S. busca 100 Auxiliares de bodega con y sin experiencia.
Tipo de contrato: Término indefinido
 Nivel educativo: Bachiller
 ¿Cuándo?: Miércoles 24 de septiembre
 Hora: 8:30 a.m a 1:00 p.m
¿Dónde?: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.
 Confirma tu asistencia aquí: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:37
43,Empleo en Bogotá,¡Llegó una convocatoria para los más tesos de ilustración!,2025-10-14 15:09:37
44,Empleo en Bogotá,"🔵 *Vacante para bachilleres* 

¡Convocatoria de empleo presencial! 

*Gate Gourmet* tiene 8️⃣0️⃣ puestos de trabajo disponibles para:

✅ Auxiliares de cocina y producción (HORECA)
✅ Auxiliares de bodega
✅ Auxiliares de planta

🔺 *Requisitos*: 6 meses de experiencia 

📅 *Fecha:* Martes, 23 de septiembre de 2025
🕘 *Hora:* 9:00 a.m.
📍 *Lugar:* Calle 59 #13-33, Chapinero – Edificio Pasaje Galvis, Oficina 124, segundo piso

Te esperamos con tu hoja de vida y documento de identificación. ✨✨",2025-10-14 15:09:38
45,Empleo en Bogotá,8️⃣,2025-10-14 15:09:38
46,Empleo en Bogotá,0️⃣,2025-10-14 15:09:38
47,Empleo en Bogotá,Sticker sin etiquetas,2025-10-14 15:09:38
48,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 

*Hoy*, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).

👉 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.

Inscríbete escaneando el código QR o haciendo clic aquí 👇
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:39
49,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en *JobFest*, la *rueda de empleo especializada en perfiles con competencias digitales*, donde podrás:
 
✅ Conectarte con más de 80 empresas con vacantes activas en el sector.
✅ Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
✅ Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
📅 Miércoles 24 y jueves 25 de septiembre
🕜 10:00 a. m. – 4:00 p. m.
📍 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
📲 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:39
50,Empleo en Bogotá,"🔵 *Vacante para bachilleres*

*Lum Logistics S.A.S.* busca 100 *Auxiliares de bodega con y sin experiencia*.

📄*Tipo de contrato*: Término indefinido
📚 *Nivel educativo*: Bachiller

📅 *¿Cuándo?*: Miércoles 24 de septiembre
🕜 *Hora*: 8:30 a.m a 1:00 p.m
📍*¿Dónde?*: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.

📲 *Confirma tu asistencia aquí*: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:39
51,Empleo en Bogotá,Sticker con: 🌚,2025-10-14 15:09:39
52,Empleo en Bogotá,Empleo en Bogotá,2025-10-14 15:09:42
53,Empleo en Bogotá,618 k seguidores,2025-10-14 15:09:42
54,Empleo en Bogotá,"Vacante para bachilleres 
¡Convocatoria de empleo presencial! 
Gate Gourmet tiene  puestos de trabajo disponibles para:
 Auxiliares de cocina y producción (HORECA)
 Auxiliares de bodega
 Auxiliares de planta
 Requisitos: 6 meses de experiencia 
 Fecha: Martes, 23 de septiembre de 2025
 Hora: 9:00 a.m.
 Lugar: Calle 59 #13-33, Chapinero – Edificio Pasaje Galvis, Oficina 124, segundo piso
Te esperamos con tu hoja de vida y documento de identificación.",2025-10-14 15:09:42
55,Empleo en Bogotá,¡Empezamos semana con buenas noticias!,2025-10-14 15:09:42
56,Empleo en Bogotá,"Tenemos 427 empleos disponibles en Bogotá, con énfasis en formación tecnológica.  
¿Qué cargos hay disponibles y cómo aplicar? 
Todos los detalles te los contamos a ti primero en este link: https://desarrolloeconomico.gov.co/427-empleos-disponibles-en-bogota-con-enfasis-en-formacion-tecnologica/",2025-10-14 15:09:42
57,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 
Hoy, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).
 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.
Inscríbete escaneando el código QR o haciendo clic aquí 
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:42
58,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en JobFest, la rueda de empleo especializada en perfiles con competencias digitales, donde podrás:
 
 Conectarte con más de 80 empresas con vacantes activas en el sector.
 Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
 Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
 Miércoles 24 y jueves 25 de septiembre
 10:00 a. m. – 4:00 p. m.
 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:42
59,Empleo en Bogotá,"Vacante para bachilleres
Lum Logistics S.A.S. busca 100 Auxiliares de bodega con y sin experiencia.
Tipo de contrato: Término indefinido
 Nivel educativo: Bachiller
 ¿Cuándo?: Miércoles 24 de septiembre
 Hora: 8:30 a.m a 1:00 p.m
¿Dónde?: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.
 Confirma tu asistencia aquí: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:42
60,Empleo en Bogotá,¡Llegó una convocatoria para los más tesos de ilustración!,2025-10-14 15:09:42
61,Empleo en Bogotá,"🔵 *Vacante para bachilleres* 

¡Convocatoria de empleo presencial! 

*Gate Gourmet* tiene 8️⃣0️⃣ puestos de trabajo disponibles para:

✅ Auxiliares de cocina y producción (HORECA)
✅ Auxiliares de bodega
✅ Auxiliares de planta

🔺 *Requisitos*: 6 meses de experiencia 

📅 *Fecha:* Martes, 23 de septiembre de 2025
🕘 *Hora:* 9:00 a.m.
📍 *Lugar:* Calle 59 #13-33, Chapinero – Edificio Pasaje Galvis, Oficina 124, segundo piso

Te esperamos con tu hoja de vida y documento de identificación. ✨✨",2025-10-14 15:09:43
62,Empleo en Bogotá,8️⃣,2025-10-14 15:09:43
63,Empleo en Bogotá,0️⃣,2025-10-14 15:09:43
64,Empleo en Bogotá,Sticker sin etiquetas,2025-10-14 15:09:43
65,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 

*Hoy*, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).

👉 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.

Inscríbete escaneando el código QR o haciendo clic aquí 👇
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:43
66,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en *JobFest*, la *rueda de empleo especializada en perfiles con competencias digitales*, donde podrás:
 
✅ Conectarte con más de 80 empresas con vacantes activas en el sector.
✅ Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
✅ Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
📅 Miércoles 24 y jueves 25 de septiembre
🕜 10:00 a. m. – 4:00 p. m.
📍 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
📲 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:43
67,Empleo en Bogotá,"🔵 *Vacante para bachilleres*

*Lum Logistics S.A.S.* busca 100 *Auxiliares de bodega con y sin experiencia*.

📄*Tipo de contrato*: Término indefinido
📚 *Nivel educativo*: Bachiller

📅 *¿Cuándo?*: Miércoles 24 de septiembre
🕜 *Hora*: 8:30 a.m a 1:00 p.m
📍*¿Dónde?*: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.

📲 *Confirma tu asistencia aquí*: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:43
68,Empleo en Bogotá,"🔵 *Vacante para bachilleres*

*Lum Logistics S.A.S.* busca 100 *Auxiliares de bodega con y sin experiencia*.

📄*Tipo de contrato*: Término indefinido
📚 *Nivel educativo*: Bachiller

📅 *¿Cuándo?*: Miércoles 24 de septiembre
🕜 *Hora*: 8:30 a.m a 1:00 p.m
📍*¿Dónde?*: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.

📲 *Confirma tu asistencia aquí*: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:44
69,Empleo en Bogotá,Sticker con: 🌚,2025-10-14 15:09:44
70,Empleo en Bogotá,Empleo en Bogotá,2025-10-14 15:09:46
71,Empleo en Bogotá,618 k seguidores,2025-10-14 15:09:46
72,Empleo en Bogotá,"Vacante para bachilleres 
¡Convocatoria de empleo presencial! 
Gate Gourmet tiene  puestos de trabajo disponibles para:
 Auxiliares de cocina y producción (HORECA)
 Auxiliares de bodega
 Auxiliares de planta
 Requisitos: 6 meses de experiencia 
 Fecha: Martes, 23 de septiembre de 2025
 Hora: 9:00 a.m.
 Lugar: Calle 59 #13-33, Chapinero – Edificio Pasaje Galvis, Oficina 124, segundo piso
Te esperamos con tu hoja de vida y documento de identificación.",2025-10-14 15:09:46
73,Empleo en Bogotá,¡Empezamos semana con buenas noticias!,2025-10-14 15:09:46
74,Empleo en Bogotá,"Tenemos 427 empleos disponibles en Bogotá, con énfasis en formación tecnológica.  
¿Qué cargos hay disponibles y cómo aplicar? 
Todos los detalles te los contamos a ti primero en este link: https://desarrolloeconomico.gov.co/427-empleos-disponibles-en-bogota-con-enfasis-en-formacion-tecnologica/",2025-10-14 15:09:46
75,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 
Hoy, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).
 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.
Inscríbete escaneando el código QR o haciendo clic aquí 
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:46
76,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en JobFest, la rueda de empleo especializada en perfiles con competencias digitales, donde podrás:
 
 Conectarte con más de 80 empresas con vacantes activas en el sector.
 Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
 Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
 Miércoles 24 y jueves 25 de septiembre
 10:00 a. m. – 4:00 p. m.
 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:46
77,Empleo en Bogotá,"Vacante para bachilleres
Lum Logistics S.A.S. busca 100 Auxiliares de bodega con y sin experiencia.
Tipo de contrato: Término indefinido
 Nivel educativo: Bachiller
 ¿Cuándo?: Miércoles 24 de septiembre
 Hora: 8:30 a.m a 1:00 p.m
¿Dónde?: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.
 Confirma tu asistencia aquí: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:46
78,Empleo en Bogotá,¡Llegó una convocatoria para los más tesos de ilustración!,2025-10-14 15:09:46
79,Empleo en Bogotá,"🔵 *Vacante para bachilleres* 

¡Convocatoria de empleo presencial! 

*Gate Gourmet* tiene 8️⃣0️⃣ puestos de trabajo disponibles para:

✅ Auxiliares de cocina y producción (HORECA)
✅ Auxiliares de bodega
✅ Auxiliares de planta

🔺 *Requisitos*: 6 meses de experiencia 

📅 *Fecha:* Martes, 23 de septiembre de 2025
🕘 *Hora:* 9:00 a.m.
📍 *Lugar:* Calle 59 #13-33, Chapinero – Edificio Pasaje Galvis, Oficina 124, segundo piso

Te esperamos con tu hoja de vida y documento de identificación. ✨✨",2025-10-14 15:09:47
80,Empleo en Bogotá,8️⃣,2025-10-14 15:09:47
81,Empleo en Bogotá,0️⃣,2025-10-14 15:09:47
82,Empleo en Bogotá,Sticker sin etiquetas,2025-10-14 15:09:47
83,Empleo en Bogotá,"¿Estás cerca a Bosa? ¡Te compartimos esta invitación a la Gran Feria de Empleo! 

*Hoy*, 22 de septiembre, en el Polideportivo Palestina (Cl. 68 Sur #81 G -09).

👉 Prepara tu hoja de vida, conecta con las mejores empresas y descubre una gran variedad de ofertas laborales.

Inscríbete escaneando el código QR o haciendo clic aquí 👇
https://forms.office.com/r/gD9PD9U4KZ?origin=lprLink",2025-10-14 15:09:48
84,Empleo en Bogotá,"¿Buscas empleo en el sector tecnológico?
 
Junto con la Cámara de Comercio de Bogotá te invitamos a participar en *JobFest*, la *rueda de empleo especializada en perfiles con competencias digitales*, donde podrás:
 
✅ Conectarte con más de 80 empresas con vacantes activas en el sector.
✅ Participar en talleres para fortalecer tus habilidades y mejorar tu empleabilidad.
✅ Conocer de primera mano las tendencias del sector y ampliar tu red de contactos.
 
📅 Miércoles 24 y jueves 25 de septiembre
🕜 10:00 a. m. – 4:00 p. m.
📍 Parque El Lago Gaitán y C.C. Unilago (Cra. 15 #78-33)
 
📲 Regístrate: https://forms.office.com/r/3PfGmYt4as",2025-10-14 15:09:48
85,Empleo en Bogotá,"🔵 *Vacante para bachilleres*

*Lum Logistics S.A.S.* busca 100 *Auxiliares de bodega con y sin experiencia*.

📄*Tipo de contrato*: Término indefinido
📚 *Nivel educativo*: Bachiller

📅 *¿Cuándo?*: Miércoles 24 de septiembre
🕜 *Hora*: 8:30 a.m a 1:00 p.m
📍*¿Dónde?*: Centro Comercial Metrópolis - Av. Carrera 68 # 75A - 50, Barrios Unidos.

📲 *Confirma tu asistencia aquí*: https://forms.gle/NFqPJYybktZj9TSP6",2025-10-14 15:09:48
86,Empleo en Bogotá,Sticker con: 🌚,2025-10-14 15:09:48
87,Empleo en Bogotá,Empleo en Bogotá,2025-10-14 15:19:18
88,Empleo en Bogotá,618 k seguidores,2025-10-14 15:19:18
89,Empleo en Bogotá,"¿Quieres aprender inglés? Refuerza tus conocimientos y mejora tu capacidad para entablar conversaciones más fluidas en contextos laborales y personales.
 Curso: Inglés básico nivel 2
 Inicio: Jueves 16 de octubre del 2025
 Horario: Martes y jueves 8:00 a.m. a 10:00 a.m.
 ¡Cupos limitados!
 Inscríbete aquí: https://forms.gle/81WRSDTUuht43JaCA",2025-10-14 15:19:18
